IMEI,total_duration,dropoff_datetime,pickup_datetime,user_on_booking_lat_long,user_on_dropoff_lat_long
864000000000000,300000,2023-03-31 16:57:15,2023-03-31 16:52:15,"2.9223484,101.6423406","2.9233075,101.6325987"
864000000000000,6889480,2023-03-19 20:38:58,2023-03-19 18:44:09,"2.9090849,101.6628052","2.9088429,101.6628552"
864000000000000,268471,2023-03-05 01:59:46,2023-03-05 01:55:18,"2.9201649,101.6363943","2.9250895,101.6375076"
864000000000000,426797,2023-02-09 20:11:04,2023-02-09 20:03:57,"2.9229415,101.6427785","2.9251621,101.6496081"
864000000000000,289068,2023-03-06 19:20:00,2023-03-06 19:15:10,"2.9302177,101.653291","2.9224289,101.651007"
864000000000000,573613,2023-03-25 00:07:51,2023-03-24 23:58:17,"2.9157357,101.6494011","2.9090482,101.6627736"
863000000000000,3258540,2023-01-22 16:56:15,2023-01-22 16:01:56,"2.9356767,101.6412121","2.9357115,101.6410965"
863000000000000,5938239,2023-01-26 18:55:33,2023-01-26 17:16:35,"2.9355629,101.6410849","2.9356718,101.6411083"
864000000000000,538599,2023-02-01 08:05:09,2023-02-01 07:56:10,"2.9231972,101.633941","2.9244646,101.6500598"
863000000000000,865078,2023-04-08 00:44:25,2023-04-08 00:30:00,"2.9355888,101.6410831","2.9355535,101.6411011"
864000000000000,454879,2023-03-24 13:23:21,2023-03-24 13:15:47,"2.9150739,101.6509826","2.9248887,101.637148"
863000000000000,4595391,2023-01-28 16:44:29,2023-01-28 15:27:54,"2.9356611,101.6410848","2.936409,101.642122"
864000000000000,178703,2023-02-05 11:28:28,2023-02-05 11:25:29,"2.9246598,101.6379396","2.9200026,101.6365765"
864000000000000,35369,2023-01-02 00:00:31,2023-01-01 23:59:56,"2.9336164,101.6364447","2.9335187,101.6364951"
864000000000000,142839,2023-02-02 19:28:26,2023-02-02 19:26:04,"2.9136223,101.6552339","2.9136406,101.6552864"
864000000000000,58611,2023-01-25 20:42:53,2023-01-25 20:41:55,"2.9197434,101.6568288","2.9197421,101.6568075"
864000000000000,228966,2023-02-25 19:20:09,2023-02-25 19:16:20,"2.918243,101.6574095","2.9208493,101.6613057"
863000000000000,100600,2023-03-04 18:24:16,2023-03-04 18:22:35,"2.9356532,101.6410936","2.9356325,101.641068"
864000000000000,757455,2023-02-20 08:14:37,2023-02-20 08:01:59,"2.9182453,101.6419463","2.9239514,101.6551833"
864000000000000,478636,2023-01-30 23:14:25,2023-01-30 23:06:26,"2.9254546,101.6369247","2.921064,101.655926"
864000000000000,1736892,2023-04-04 00:26:21,2023-04-03 23:57:25,"2.9255055,101.6378469","2.925432,101.6377528"
864000000000000,264775,2023-03-22 10:18:05,2023-03-22 10:13:40,"2.9226033,101.6342483","2.9308117,101.6377201"
864000000000000,140044,2023-01-08 19:51:06,2023-01-08 19:48:46,"2.9217851,101.6509403","2.921831,101.6510466"
864000000000000,274378,2023-03-23 17:24:32,2023-03-23 17:19:57,"2.9263901,101.641309","2.9204134,101.6378884"
864000000000000,802996,2023-02-09 15:35:49,2023-02-09 15:22:26,"2.9247728,101.6503383","2.9234018,101.6340921"
864000000000000,1306511,2023-03-19 07:22:24,2023-03-19 07:00:38,"2.9250996,101.637654","2.9270619,101.651293"
864000000000000,586411,2023-02-26 09:01:24,2023-02-26 08:51:37,"2.9256891,101.6365012","2.9218099,101.6510897"
864000000000000,445172,2023-03-06 20:53:10,2023-03-06 20:45:44,"2.9232063,101.6338641","2.9217217,101.6509721"
864000000000000,172112,2023-03-01 10:59:03,2023-03-01 10:56:11,"2.9181261,101.657373","2.9137329,101.6551393"
864000000000000,201775,2023-02-14 10:46:53,2023-02-14 10:43:32,"2.9231355,101.6341542","2.9252348,101.6374049"
864000000000000,345555,2023-03-28 22:21:26,2023-03-28 22:15:41,"2.9307701,101.6475111","2.9258167,101.6496398"
864000000000000,260670,2023-03-15 06:01:12,2023-03-15 05:56:51,"2.9230496,101.6428398","2.9238177,101.6507206"
864000000000000,506969,2023-02-18 19:28:37,2023-02-18 19:20:10,"2.9255059,101.6378683","2.9215139,101.6507107"
864000000000000,548097,2023-01-16 10:07:11,2023-01-16 09:58:02,"2.9218069,101.6510187","2.9222015,101.6343654"
864000000000000,649867,2023-02-08 17:56:53,2023-02-08 17:46:03,"2.9221309,101.6514384","2.911061,101.6391907"
864000000000000,338782,2023-03-30 00:12:21,2023-03-30 00:06:42,"2.9146282,101.6575959","2.9091141,101.6628503"
863000000000000,7059573,2023-03-28 23:00:26,2023-03-28 21:02:47,"2.9356416,101.6410207","2.9351946,101.639545"
864000000000000,845332,2023-02-20 21:44:19,2023-02-20 21:30:14,"2.916571,101.650537","2.9285384,101.6548037"
864000000000000,527961,2023-03-29 22:40:48,2023-03-29 22:32:00,"2.9213303,101.6373838","2.9137721,101.6552794"
864000000000000,255315,2023-01-28 17:30:22,2023-01-28 17:26:07,"2.9253748,101.6375592","2.9234305,101.634046"
864000000000000,403165,2023-03-28 21:56:59,2023-03-28 21:50:16,"2.9202144,101.6363337","2.9250968,101.6373915"
864000000000000,445784,2023-04-02 06:07:14,2023-04-02 05:59:48,"2.9186133,101.6456317","2.9217252,101.656987"
864000000000000,2521526,2023-01-05 00:03:17,2023-01-04 23:21:16,"2.9212186,101.6372495","2.9210851,101.6376634"
864000000000000,146705,2023-03-24 18:50:10,2023-03-24 18:47:44,"2.9359078,101.6416935","2.9355429,101.6410173"
864000000000000,202774,2023-01-10 18:03:35,2023-01-10 18:00:12,"2.9180297,101.6464185","2.9216926,101.6510787"
864000000000000,0,1970-01-01 07:59:59,2023-01-27 09:38:39,"2.9235602,101.6348623","-1.0,-1.0"
863000000000000,1043235,2023-02-13 11:19:25,2023-02-13 11:02:01,"2.9327758,101.6429778","2.9356441,101.6411046"
864000000000000,1916319,2023-01-06 16:20:32,2023-01-06 15:48:36,"2.9356576,101.6410396","2.9355931,101.6410406"
867000000000000,2857206,2023-03-05 22:56:18,2023-03-05 22:08:41,"2.935663,101.6410141","2.9152778,101.669152"
864000000000000,698435,2023-01-06 07:01:47,2023-01-06 06:50:09,"2.91801,101.641925","2.9207632,101.6380721"
863000000000000,3182204,2023-02-05 12:42:06,2023-02-05 11:49:04,"2.9357822,101.642207","2.9358308,101.6425698"
863000000000000,75608,2023-02-23 20:35:23,2023-02-23 20:34:07,"2.9245267,101.6608733","2.9245106,101.6608358"
864000000000000,704288,2023-01-08 00:29:14,2023-01-08 00:17:30,"2.921851,101.6509984","2.9250111,101.6374985"
863000000000000,4187965,2023-02-19 23:28:49,2023-02-19 22:19:01,"2.9356224,101.6411304","2.934485,101.6405072"
864000000000000,653728,2023-03-10 11:27:10,2023-03-10 11:16:16,"2.9284898,101.6545574","2.9155348,101.6503393"
864000000000000,508201,2023-04-05 04:40:21,2023-04-05 04:31:53,"2.9090068,101.662734","2.922186,101.6576043"
864000000000000,407541,2023-03-09 20:18:16,2023-03-09 20:11:28,"2.9136304,101.6552916","2.9206382,101.6614501"
864000000000000,1585742,2023-01-15 19:11:23,2023-01-15 18:44:58,"2.9356438,101.6410055","2.9355657,101.6409408"
864000000000000,297358,2023-01-31 09:27:01,2023-01-31 09:22:04,"2.9233655,101.6356713","2.9229851,101.6420758"
864000000000000,71882242,2023-03-08 11:45:00,2023-03-07 15:46:58,"2.9196728,101.6566994","2.922935,101.6383724"
864000000000000,600946,2023-01-11 20:08:39,2023-01-11 19:58:38,"2.9223916,101.6398382","2.925789,101.6617875"
864000000000000,2169315,2023-03-28 22:24:36,2023-03-28 21:48:27,"2.9158876,101.6409409","2.9158192,101.6409175"
864000000000000,707986,2023-04-02 21:40:26,2023-04-02 21:28:38,"2.9236393,101.661815","2.9146515,101.6668236"
864000000000000,466998,2023-02-27 07:49:49,2023-02-27 07:42:02,"2.9286436,101.655165","2.9181591,101.6493535"
864000000000000,433909,2023-02-04 00:15:23,2023-02-04 00:08:09,"2.9164713,101.6455675","2.9206397,101.6554867"
864000000000000,703335,2023-01-23 09:14:40,2023-01-23 09:02:57,"2.9250854,101.6374511","2.9201723,101.6363492"
864000000000000,320794,2023-03-04 21:28:03,2023-03-04 21:22:43,"2.9199804,101.6366158","2.9250368,101.6374719"
864000000000000,823936,2023-01-05 14:30:50,2023-01-05 14:17:06,"2.9254732,101.6377987","2.9255827,101.6615449"
864000000000000,557463,2023-04-07 07:18:51,2023-04-07 07:09:33,"2.9196987,101.6566821","2.9223071,101.6397603"
864000000000000,388103,2023-01-28 15:49:51,2023-01-28 15:43:23,"2.9341033,101.6311076","2.9251849,101.6374943"
863000000000000,91107,2023-01-28 17:55:36,2023-01-28 17:54:05,"2.9358624,101.6425744","2.9358554,101.6425778"
864000000000000,857196,2023-04-02 14:53:56,2023-04-02 14:39:39,"2.939585,101.665295","2.921645,101.65112"
864000000000000,403077,2023-02-22 21:57:15,2023-02-22 21:50:32,"2.9218105,101.6509509","2.922631,101.6404369"
864000000000000,58988,2023-01-14 08:23:15,2023-01-14 08:22:16,"2.9355717,101.641029","2.9355812,101.6410006"
864000000000000,357298,2023-03-08 21:48:37,2023-03-08 21:42:40,"2.9112438,101.6388628","2.924932,101.6375132"
864000000000000,399822,2023-04-04 14:28:05,2023-04-04 14:21:25,"2.9254885,101.6377333","2.9218335,101.6509826"
864000000000000,409591,2023-01-31 01:19:25,2023-01-31 01:12:36,"2.9254313,101.6377662","2.9338944,101.6364662"
864000000000000,493698,2023-01-07 21:23:20,2023-01-07 21:15:07,"2.9210373,101.657704","2.9214134,101.6567188"
864000000000000,589137,2023-01-29 11:40:20,2023-01-29 11:30:30,"2.9285278,101.6548574","2.9156362,101.6500666"
864000000000000,321996,2023-03-10 01:22:45,2023-03-10 01:17:23,"2.9145348,101.6575111","2.9088255,101.6628606"
864000000000000,397318,2023-03-22 12:08:36,2023-03-22 12:01:59,"2.9233532,101.6616348","2.9218477,101.6509986"
864000000000000,247665,2023-04-05 20:20:23,2023-04-05 20:16:15,"2.921283,101.655763","2.9137098,101.6552154"
867000000000000,350622,2023-03-17 20:44:51,2023-03-17 20:39:01,"2.9356615,101.6411357","2.9356461,101.6411448"
864000000000000,48932,2023-04-05 19:49:39,2023-04-05 19:48:50,"2.9223704,101.6393848","2.9222989,101.6398753"
863000000000000,21416,2023-02-18 14:54:00,2023-02-18 14:53:39,"2.9245167,101.6608575","2.9245215,101.6608545"
864000000000000,351975,2023-01-27 13:22:33,2023-01-27 13:16:41,"2.9305221,101.6380239","2.9307337,101.6476081"
864000000000000,102292,2023-02-03 00:31:19,2023-02-03 00:29:37,"2.9266865,101.6446675","2.9223725,101.6397751"
864000000000000,316603,2023-02-22 21:29:10,2023-02-22 21:23:54,"2.9221385,101.6611845","2.9225544,101.6613416"
864000000000000,2607321,2023-03-21 18:26:01,2023-03-21 17:42:34,"2.9243155,101.6387648","2.9340589,101.6366649"
864000000000000,849933,2023-02-05 10:46:36,2023-02-05 10:32:26,"2.9359038,101.6413525","2.9359202,101.6413549"
864000000000000,12589001,2023-01-26 06:34:49,2023-01-26 03:05:00,"2.9208658,101.6613621","2.9228715,101.6340122"
864000000000000,997069,2023-02-03 14:27:50,2023-02-03 14:11:13,"2.9318441,101.6479324","2.9286664,101.6548639"
864000000000000,148099,2023-01-10 11:09:34,2023-01-10 11:07:06,"2.918312,101.6573648","2.9139256,101.6550236"
864000000000000,227878,2023-02-08 18:41:22,2023-02-08 18:37:34,"2.9212356,101.6556932","2.9137103,101.6554533"
864000000000000,603411,2023-01-08 20:26:19,2023-01-08 20:16:16,"2.9195251,101.65695","2.918539,101.6461476"
864000000000000,4519266,2023-03-28 04:52:05,2023-03-28 03:36:46,"2.9247908,101.6375234","2.9250527,101.6375001"
864000000000000,573909,2023-01-18 08:59:46,2023-01-18 08:50:12,"2.9167681,101.6407864","2.9240506,101.6554932"
864000000000000,521800,2023-03-03 13:47:35,2023-03-03 13:38:53,"2.924791,101.636815","2.9307411,101.6471776"
864000000000000,720105,2023-02-26 18:25:38,2023-02-26 18:13:38,"2.9214594,101.6560663","2.9231414,101.6340841"
864000000000000,280708,2023-02-16 17:01:29,2023-02-16 16:56:49,"2.9195947,101.6567789","2.9216697,101.6501461"
864000000000000,561473,2023-01-03 17:10:34,2023-01-03 17:01:13,"2.9288315,101.6548859","2.913726,101.655305"
864000000000000,1342382,2023-01-15 01:51:46,2023-01-15 01:29:24,"2.9142081,101.655586","2.9146565,101.6669806"
864000000000000,530905,2023-03-11 01:58:58,2023-03-11 01:50:07,"2.9196545,101.6567151","2.9212429,101.656719"
864000000000000,578624,2023-01-31 00:52:04,2023-01-31 00:42:25,"2.9162536,101.6461098","2.9164153,101.6460103"
864000000000000,18731,2023-03-28 11:58:43,2023-03-28 11:58:25,"2.9304403,101.6380244","2.9304527,101.6380262"
864000000000000,701353,2023-04-01 19:28:12,2023-04-01 19:16:30,"2.9134549,101.6552087","2.9136082,101.6552866"
864000000000000,179308,2023-01-20 11:12:33,2023-01-20 11:09:34,"2.9185818,101.6572133","2.913743,101.6551879"
864000000000000,210061,2023-03-12 03:04:57,2023-03-12 03:01:27,"2.9234096,101.635898","2.9223379,101.6343631"
863000000000000,0,2023-03-31 23:16:55,2023-03-31 18:55:24,"2.9188824,101.6517334","-1.0,-1.0"
864000000000000,204485,2023-01-19 10:59:24,2023-01-19 10:56:00,"2.9249815,101.6375064","2.9306489,101.6378131"
864000000000000,335860,2023-03-07 12:06:53,2023-03-07 12:01:17,"2.9229935,101.6426729","2.9218048,101.6510293"
863000000000000,1610451,2023-03-11 03:05:36,2023-03-11 02:38:46,"2.9356263,101.6410511","2.9357148,101.6410916"
863000000000000,29230,2023-01-27 17:26:54,2023-01-27 17:26:25,"2.9356154,101.6410426","2.9356455,101.6411123"
864000000000000,407352,2023-03-05 14:43:00,2023-03-05 14:36:13,"2.9185872,101.6457791","2.9145318,101.6573353"
864000000000000,458793,2023-02-17 20:45:31,2023-02-17 20:37:52,"2.9249509,101.6374562","2.9198099,101.6457468"
864000000000000,489198,2023-02-23 10:24:26,2023-02-23 10:16:16,"2.9221996,101.6611209","2.9219554,101.6610365"
864000000000000,328657,2023-01-27 07:58:31,2023-01-27 07:53:03,"2.9197406,101.6563728","2.9189236,101.6520065"
864000000000000,534195,2023-02-03 12:14:46,2023-02-03 12:05:52,"2.9284566,101.6548109","2.9157487,101.6500221"
864000000000000,613450,2023-03-26 21:32:53,2023-03-26 21:22:40,"2.9210601,101.6558273","2.9252234,101.6375225"
864000000000000,400192,2023-03-23 12:51:15,2023-03-23 12:44:35,"2.9368199,101.6615268","2.9395412,101.6653187"
864000000000000,1376074,2023-01-01 23:11:06,2023-01-01 22:48:09,"2.9252475,101.637501","2.9335507,101.6367543"
864000000000000,1077586,2023-03-19 19:10:26,2023-03-19 18:52:28,"2.9352645,101.6407693","2.9352534,101.6407051"
864000000000000,1047941,2023-03-31 18:20:34,2023-03-31 18:03:06,"2.9136648,101.6551662","2.9349873,101.6403862"
864000000000000,14991382,2023-02-26 08:39:03,2023-02-26 04:29:12,"2.92078,101.6613182","2.9220525,101.6610671"
864000000000000,1169015,2023-01-04 20:45:34,2023-01-04 20:26:05,"2.9254311,101.6378228","2.9211722,101.6373188"
863000000000000,1054806,2023-01-28 16:20:18,2023-01-28 16:02:44,"2.9356049,101.6410607","2.9359212,101.6421728"
863000000000000,1557058,2023-03-18 22:28:22,2023-03-18 22:02:25,"2.9351431,101.6407743","2.9351953,101.6406469"
864000000000000,283570,2023-02-22 13:49:51,2023-02-22 13:45:08,"2.9182555,101.6573567","2.9220429,101.6611296"
864000000000000,297002,2023-01-23 23:18:24,2023-01-23 23:13:27,"2.9217406,101.6511514","2.9223385,101.6409011"
863000000000000,514560,2023-02-01 22:05:50,2023-02-01 21:57:16,"2.9356026,101.6410609","2.9356117,101.6410632"
864000000000000,501450,2023-02-27 23:30:26,2023-02-27 23:22:05,"2.9285943,101.6545135","2.9161698,101.6455257"
864000000000000,402689,2023-02-07 20:28:02,2023-02-07 20:21:19,"2.9236121,101.6510596","2.9198363,101.6567318"
864000000000000,1210082,2023-03-19 00:43:06,2023-03-19 00:22:56,"2.9248129,101.6374447","2.9234754,101.6357049"
864000000000000,45909,2023-03-26 20:50:37,2023-03-26 20:49:51,"2.9231368,101.6340075","2.9231824,101.6340885"
864000000000000,704389,2023-02-07 22:53:16,2023-02-07 22:41:32,"2.9230521,101.6340754","2.9212819,101.6556693"
864000000000000,400572,2023-03-30 22:14:00,2023-03-30 22:07:19,"2.9153404,101.6498427","2.913657,101.6552578"
864000000000000,2714210,2023-02-11 04:25:37,2023-02-11 03:40:23,"2.9232778,101.6341711","2.9232115,101.6339078"
864000000000000,417442,2023-04-06 18:19:11,2023-04-06 18:12:13,"2.9254365,101.6378242","2.9233132,101.6337834"
864000000000000,705558,2023-04-04 07:33:13,2023-04-04 07:21:27,"2.9210877,101.6557963","2.922476,101.6395498"
864000000000000,1523722,2023-01-26 21:13:47,2023-01-26 20:48:24,"2.9201334,101.6363921","2.9145824,101.6669271"
864000000000000,592105,2023-02-22 21:59:30,2023-02-22 21:49:38,"2.9162102,101.6455792","2.9285056,101.6548494"
864000000000000,606026,2023-03-01 20:51:31,2023-03-01 20:41:25,"2.9250332,101.656075","2.9136232,101.6552949"
864000000000000,1086130,2023-04-02 21:50:32,2023-04-02 21:32:26,"2.9307844,101.6475626","2.9200306,101.6365249"
864000000000000,301153,2023-01-05 18:06:57,2023-01-05 18:01:56,"2.930427,101.6380297","2.9309885,101.6379457"
863000000000000,4651588,2023-03-18 19:05:16,2023-03-18 17:47:44,"2.9352335,101.6406949","2.9352064,101.6407185"
864000000000000,842995,2023-01-06 13:41:36,2023-01-06 13:27:33,"2.923029,101.6421938","2.9235912,101.6616597"
864000000000000,458782,2023-02-21 09:54:32,2023-02-21 09:46:54,"2.9219785,101.6341881","2.9163887,101.6503508"
864000000000000,2939897,2023-03-12 19:52:18,2023-03-12 19:03:19,"2.9208009,101.6612363","2.9220728,101.661102"
864000000000000,498328,2023-03-20 09:10:01,2023-03-20 09:01:43,"2.9229849,101.6340057","2.9185524,101.6514887"
864000000000000,3200644,2023-02-10 19:16:41,2023-02-10 18:23:20,"2.930501,101.6380108","2.9367948,101.6404706"
863000000000000,1137116,2023-02-11 21:44:13,2023-02-11 21:25:16,"2.9352496,101.640681","2.9352602,101.6407512"
864000000000000,546144,2023-02-11 13:56:37,2023-02-11 13:47:31,"2.9135442,101.6550492","2.9201107,101.6364237"
864000000000000,698342,2023-03-31 22:45:09,2023-03-31 22:33:31,"2.9155185,101.6503591","2.9287759,101.6547111"
864000000000000,697295,2023-01-14 20:23:07,2023-01-14 20:11:30,"2.925118,101.6374454","2.9136505,101.6552785"
864000000000000,438387,2023-03-16 02:24:38,2023-03-16 02:17:20,"2.9146519,101.6668975","2.913768,101.6553903"
864000000000000,475427,2023-01-25 12:16:00,2023-01-25 12:08:05,"2.9124595,101.6516873","2.9127321,101.6517592"
864000000000000,191258,2023-03-01 10:06:19,2023-03-01 10:03:08,"2.9248496,101.6379651","2.9218219,101.6375992"
864000000000000,444651,2023-02-02 16:25:00,2023-02-02 16:17:35,"2.9362719,101.6419205","2.9218059,101.6511267"
863000000000000,362641,2023-01-08 16:24:10,2023-01-08 16:18:07,"2.9356183,101.6410303","2.9358278,101.6427843"
864000000000000,1612202,2023-02-03 16:18:35,2023-02-03 15:51:42,"2.9207163,101.6612596","2.923221,101.6373217"
863000000000000,331991,2023-01-28 18:18:24,2023-01-28 18:12:52,"2.934798,101.6410608","2.9358836,101.6426221"
864000000000000,75458,2023-02-07 17:41:29,2023-02-07 17:40:13,"2.935612,101.6410174","2.9356184,101.6410379"
864000000000000,937416,2023-01-31 20:16:46,2023-01-31 20:01:09,"2.9202316,101.6370366","2.9250075,101.6375167"
864000000000000,858224,2023-04-06 18:07:10,2023-04-06 17:52:52,"2.9221183,101.66137","2.9164333,101.6456167"
864000000000000,477366,2023-02-25 22:37:16,2023-02-25 22:29:19,"2.9163079,101.6458593","2.9250991,101.6374034"
864000000000000,254160,2023-02-04 21:29:25,2023-02-04 21:25:11,"2.9218161,101.6511176","2.9230111,101.6427966"
864000000000000,557196,2023-03-28 16:40:53,2023-03-28 16:31:36,"2.9159669,101.6503097","2.9198815,101.6570644"
864000000000000,477406,2023-02-09 06:56:48,2023-02-09 06:48:50,"2.916326,101.6456916","2.9210032,101.6377694"
863000000000000,491260,2023-01-19 17:56:17,2023-01-19 17:48:05,"2.9359186,101.6417207","2.9361466,101.6423782"
863000000000000,3016382,2023-03-08 18:19:56,2023-03-08 17:29:40,"2.9358356,101.6425027","2.9357425,101.6424882"
864000000000000,954026,2023-03-29 16:21:49,2023-03-29 16:05:55,"2.9304829,101.6379716","2.9233223,101.6338665"
864000000000000,300000,2023-04-06 13:32:34,2023-04-06 13:27:34,"2.92343,101.6339859","2.9254718,101.6377452"
864000000000000,513692,2023-01-21 20:19:26,2023-01-21 20:10:52,"2.9224483,101.6398162","2.92079,101.6556445"
864000000000000,169780,2023-02-04 17:06:28,2023-02-04 17:03:38,"2.9195753,101.6567285","2.9137039,101.6552614"
864000000000000,3118888,2023-01-21 18:27:27,2023-01-21 17:35:28,"2.9210915,101.6372896","2.923507,101.6617429"
864000000000000,345907,2023-03-05 12:08:47,2023-03-05 12:03:01,"2.916205,101.6505077","2.9217058,101.6511178"
864000000000000,417414,2023-02-11 19:37:34,2023-02-11 19:30:37,"2.9294525,101.6387106","2.9307301,101.6476411"
864000000000000,318634,2023-02-03 05:57:45,2023-02-03 05:52:26,"2.9205967,101.6464695","2.9192817,101.6547472"
864000000000000,874047,2023-03-31 14:26:36,2023-03-31 14:12:02,"2.9307255,101.6475625","2.922065,101.634406"
864000000000000,1598010,2023-01-26 22:08:04,2023-01-26 21:41:26,"2.9196332,101.6566337","2.9196483,101.6567278"
864000000000000,257907,2023-03-14 06:16:24,2023-03-14 06:12:06,"2.9216154,101.6510234","2.925148,101.649684"
864000000000000,591358,2023-03-28 19:50:28,2023-03-28 19:40:37,"2.922677,101.6346551","2.921775,101.6510694"
863000000000000,4424741,2023-02-18 00:20:33,2023-02-17 23:06:49,"2.9356425,101.6410416","2.9356733,101.6410404"
864000000000000,520432,2023-02-28 01:54:12,2023-02-28 01:45:31,"2.9147455,101.6669469","2.9210725,101.6610167"
864000000000000,8819761,2023-03-18 19:52:36,2023-03-18 17:25:37,"2.9231934,101.6341551","2.9224048,101.6399861"
863000000000000,4448732,2023-02-19 17:10:14,2023-02-19 15:56:05,"2.935639,101.6410282","2.9356625,101.6410858"
864000000000000,17323,2023-01-18 08:49:58,2023-01-18 08:49:41,"2.9176972,101.6413154","2.9167757,101.6408062"
864000000000000,532305,2023-04-03 13:52:16,2023-04-03 13:43:23,"2.9236026,101.6617488","2.9160154,101.6491963"
863000000000000,26090,2023-01-18 17:23:09,2023-01-18 17:22:43,"2.935649,101.641097","2.9356528,101.6410709"
864000000000000,542254,2023-04-01 16:09:00,2023-04-01 15:59:57,"2.923432,101.6356811","2.9218784,101.6510389"
864000000000000,749300,2023-02-03 17:52:59,2023-02-03 17:40:29,"2.921823,101.6510986","2.9110309,101.6393094"
864000000000000,436343,2023-02-11 22:07:56,2023-02-11 22:00:40,"2.9234396,101.6615821","2.9181209,101.649091"
864000000000000,528546,2023-02-27 18:33:27,2023-02-27 18:24:39,"2.9238072,101.6515128","2.9255262,101.6379741"
864000000000000,43619,2023-03-27 17:58:00,2023-03-27 17:57:17,"2.9236198,101.6617084","2.9235822,101.661772"
864000000000000,287771,2023-03-18 03:11:36,2023-03-18 03:06:48,"2.9210472,101.6558496","2.9251018,101.6496469"
864000000000000,75785,2023-02-24 11:09:53,2023-02-24 11:08:37,"2.9158391,101.6409535","2.9158253,101.640951"
864000000000000,229260,2023-03-04 18:32:00,2023-03-04 18:28:11,"2.9231709,101.6340791","2.9242445,101.6374244"
864000000000000,487869,2023-03-19 18:35:00,2023-03-19 18:26:52,"2.9245278,101.6382599","2.9226549,101.6424115"
863000000000000,43423,2023-01-28 18:01:31,2023-01-28 18:00:47,"2.9356536,101.6410802","2.9356542,101.6410378"
863000000000000,620598,2023-01-23 18:45:20,2023-01-23 18:35:00,"2.90836,101.6557","2.90836,101.6557"
864000000000000,616590,2023-04-02 00:07:41,2023-04-01 23:57:24,"2.9208281,101.6379616","2.9206785,101.6377347"
864000000000000,150757,2023-01-28 11:58:23,2023-01-28 11:55:52,"2.925212,101.6382749","2.9215192,101.6374789"
864000000000000,524486,2023-01-26 23:48:32,2023-01-26 23:39:47,"2.9250073,101.6374098","2.9210426,101.6558573"
864000000000000,67090,2023-02-07 17:51:03,2023-02-07 17:49:55,"2.9356197,101.6410291","2.9356029,101.6410188"
864000000000000,1392292,2023-03-18 22:38:31,2023-03-18 22:15:18,"2.9305074,101.6379815","2.9221365,101.6343783"
864000000000000,137108,2023-01-11 13:00:03,2023-01-11 12:57:46,"2.9217635,101.6563164","2.9192797,101.6549605"
